,claim_id,claim_text,claim_label,evidences,evidence text
66,claim-1256,"‘Next year or the year after, the Arctic will be free of ice’",DISPUTED,evidence-954212,"(Current projected consequences of global warming include a largely ice-free Arctic Ocean within 5–20 years, see Arctic shrinkage.)"
67,claim-1256,"‘Next year or the year after, the Arctic will be free of ice’",DISPUTED,evidence-957020,Reports have also predicted that within a few decades the Arctic Ocean will be entirely free of ice in the summer.
68,claim-506,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,evidence-1199931,Climate models have been used to examine the role of the Sun in recent climate change.
69,claim-506,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,evidence-510347,(2007) allowed for the possibility that climate models had been underestimated the effect of solar forcing.
70,claim-506,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,evidence-1057489,"Computer models are run on supercomputers to reproduce and predict the circulation of the oceans, the annual cycle of the seasons, and the flows of carbon between the land surface and the atmosphere."
71,claim-506,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,evidence-100394,"""How the oceans absorb carbon dioxide is critical for predicting climate change""."
72,claim-506,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,evidence-1197833,"They judge that global mean surface air temperature has increased by 0.3 to 0.6 °C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability."
73,claim-369,By 2050 there’s a scientific consensus that we reached the tipping point for ice sheets in Greenland and the West Antarctic,SUPPORTS,evidence-783884,"A study published in 2017 concluded that Greenland's peripheral glaciers and ice caps crossed an irreversible tipping point around 1997, and will continue to melt."
74,claim-369,By 2050 there’s a scientific consensus that we reached the tipping point for ice sheets in Greenland and the West Antarctic,SUPPORTS,evidence-411817,A 2019 UNEP study indicates that now at least for the Arctic and the Greenland ice sheet a tipping point has already been reached.
75,claim-2184,We have had ice ages and warmer periods when alligators were found in Spitzbergen.,SUPPORTS,evidence-224942,"Earth's climate alternates between ice ages and greenhouse periods, during which there are no glaciers on the planet."
76,claim-2184,We have had ice ages and warmer periods when alligators were found in Spitzbergen.,SUPPORTS,evidence-1113919,"The current geological period, the Quaternary, which began about 2.6 million years ago and extends into the present, is marked by warm and cold episodes, cold phases called glacials (Quaternary ice age) lasting about 100,000 years, and which are then interrupted by the warmer interglacials which lasted about 10,000–15,000 years."
77,claim-1057,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,evidence-747577,"Dead zones are hypoxic (low-oxygen) areas in the world's oceans and large lakes, caused by ""excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen required to support most marine life in bottom and near-bottom water."
78,claim-1057,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,evidence-69294,These areas are also known as oxygen minimum zones (OMZ).
79,claim-1057,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,evidence-754329,The oxygen minimum layer exists somewhere between a depth of 700m and 1000m deep depending on the place in the ocean.
80,claim-1057,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,evidence-21184,"The deeper layer becomes oxygen starved and can become saturated with carbon dioxide, or other gases such as sulfur dioxide if there is even a trace of volcanic activity."
81,claim-1057,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,evidence-754923,"The oxygen consumption due to respiration of most of the sinking organic matter and lack of gas exchange, often creates an oxygen minimum zone (OMZ) in the mesopelagic."
82,claim-104,Increases in atmospheric CO2 followed increases in temperature.,SUPPORTS,evidence-368192,"Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century."
83,claim-104,Increases in atmospheric CO2 followed increases in temperature.,SUPPORTS,evidence-423643,"During the late 20th century, a scientific consensus evolved that increasing concentrations of greenhouse gases in the atmosphere cause a substantial rise in global temperatures and changes to other parts of the climate system, with consequences for the environment and for human health."
84,claim-104,Increases in atmospheric CO2 followed increases in temperature.,SUPPORTS,evidence-629358,Increases in ambient temperatures and changes in related processes are directly linked to rising anthropogenic greenhouse gas (GHG) concentrations in the atmosphere.
85,claim-1975,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change.",NOT_ENOUGH_INFO,evidence-963115,The study found that 97% of the 489 scientists surveyed agreed that global temperatures have risen over the past century.
86,claim-1975,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change.",NOT_ENOUGH_INFO,evidence-154218,"The Intergovernmental Panel on Climate Change (IPCC) is an intergovernmental body of the United Nations that is dedicated to providing the world with objective, scientific information relevant to understanding the scientific basis of the risk of human-induced climate change, its natural, political, and economic impacts and risks, and possible response options."
87,claim-1975,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change.",NOT_ENOUGH_INFO,evidence-503460,"Of these, 97% agree, explicitly or implicitly, that global warming is happening and is human-caused."
88,claim-1975,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change.",NOT_ENOUGH_INFO,evidence-797793,"97% of the scientists surveyed agreed that global temperatures had increased during the past 100 years; 84% said they personally believed human-induced warming was occurring, and 74% agreed that ""currently available scientific evidence"" substantiated its occurrence."
89,claim-1975,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change.",NOT_ENOUGH_INFO,evidence-335835,"(i) 97–98% of the climate researchers most actively publishing in the field support the tenets of ACC (Anthropogenic Climate Change) outlined by the Intergovernmental Panel on Climate Change, and (ii) the relative climate expertise and scientific prominence of the researchers unconvinced of ACC are substantially below that of the convinced researchers."
90,claim-139,"And in January, one out of five British children told pollsters they were having nightmares about climate change.",SUPPORTS,evidence-315515,"In 2007, the American Academy of Pediatrics issued the policy statement Global Climate Change and Children's Health: Anticipated direct health consequences of climate change include injury and death from extreme weather events and natural disasters, increases in climate-sensitive infectious diseases, increases in air pollution–related illness, and more heat-related, potentially fatal, illness."
91,claim-2062,Global warming is increasing the magnitude and frequency of droughts and floods.,SUPPORTS,evidence-657110,"Climate change also increases droughts and heat waves that inhibit plant growth, which makes it uncertain whether this balancing feedback will persist in the future."
92,claim-2062,Global warming is increasing the magnitude and frequency of droughts and floods.,SUPPORTS,evidence-553897,The maximum rainfall and wind speed from hurricanes and typhoons are likely increasing.
93,claim-2062,Global warming is increasing the magnitude and frequency of droughts and floods.,SUPPORTS,evidence-1091550,"The effects of global warming include rising sea levels, regional changes in precipitation, more frequent extreme weather events such as heat waves, and expansion of deserts."
94,claim-1160,"With more CO2 in the atmosphere, the challenge [feeding 2.5 billion more people] can and will be met.",SUPPORTS,evidence-76391,"To set these numbers into context, assuming a global population around 9–10 billion by 2050 a carbon footprint of about 2–2.5 tons CO2e per capita is needed to stay within a 2 °C target."
95,claim-2679,"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,evidence-1082891,"Also, the Intergovernmental Panel on Climate Change (IPCC) writes in their Climate Change 2007: Synthesis Report: ""The uptake of anthropogenic carbon since 1750 has led to the ocean becoming more acidic with an average decrease in pH of 0.1 units."
96,claim-2679,"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,evidence-411794,The following table lists some temperature dependencies: Solubility of permanent gases usually decreases with increasing temperature at around room temperature.
97,claim-2679,"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,evidence-73808,"Often, the smaller the gas molecule (and the lower the gas solubility in water), the lower the temperature of the maximum of the Henry's law constant."
98,claim-2679,"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,evidence-558397,"In liquid water at high temperatures, (e.g."
99,claim-2679,"""The solubility of carbon dioxide in water is listed in the Handbook of Chemistry and Physics as a declining function of temperature. ...",NOT_ENOUGH_INFO,evidence-583134,"that approaching the critical temperature), the solubility of ionic solutes tends to decrease due to the change of properties and structure of liquid water; the lower dielectric constant results in a less polar solvent."
100,claim-2662,"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",REFUTES,evidence-450316,The concentration of carbon dioxide in the atmosphere today is much lower than it was when plants emerged onto land during the Ordovician and Silurian periods.
101,claim-2662,"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",REFUTES,evidence-657496,"For example, diverse geochemical and paleontological proxies indicate that at the maximum of global warmth the atmospheric carbon dioxide values were at 700–900 ppm while other proxies such as pedogenic (soil building) carbonate and marine boron isotopes indicate large changes of carbon dioxide of over 2,000 ppm over periods of time of less than 1 million years."
102,claim-2662,"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",REFUTES,evidence-962456,"""Paleobotanical Evidence for Near Present-Day Levels of Atmospheric CO2 During Part of the Tertiary""."
103,claim-2662,"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",REFUTES,evidence-800880,"At a meeting of the American Geophysical Union (December 17, 2008), scientists detailed evidence in support of the controversial idea that the introduction of large-scale rice agriculture in Asia, coupled with extensive deforestation in Europe began to alter world climate by pumping significant amounts of greenhouse gases into the atmosphere over the last 1,000 years."
104,claim-1490,the concentration of carbon dioxide in Earth’s atmosphere has climbed to a level last seen more than 3 million years ago — before humans even appeared on the rocky ball we call home.,SUPPORTS,evidence-551522,"The National Geographic wrote that the concentration of carbon dioxide in the atmosphere is this high ""for the first time in 55 years of measurement—and probably more than 3 million years of Earth history."""
105,claim-2768,The long term trend from albedo is that of cooling.,SUPPORTS,evidence-695602,"The scattering of radiation causes atmospheric cooling, whereas absorption can cause atmospheric warming."
106,claim-2768,The long term trend from albedo is that of cooling.,SUPPORTS,evidence-458452,"[citation needed] Arctic regions notably release more heat back into space than what they absorb, effectively cooling the Earth."
107,claim-2768,The long term trend from albedo is that of cooling.,SUPPORTS,evidence-1075210,"A layer of snowfall increases local albedo, reflecting away sunlight, leading to local cooling."
108,claim-2168,IPCC graph showing accelerating trends is misleading,SUPPORTS,evidence-41418,"The IPCC needs to look at this trend in the errors and ask why it happened""."
109,claim-785,"In many other cases, though — hurricanes, for example — the linkage to global warming for particular trends is uncertain or disputed.",NOT_ENOUGH_INFO,evidence-3489,Human activity is likely to have made a substantial contribution to ocean surface temperature changes in hurricane formation regions.
