,claim_id,claim_text,claim_label,evidences,evidence text
24,claim-949,"Under the most ambitious scenarios, they found a strong likelihood that Antarctica would remain fairly stable.”",DISPUTED,evidence-707654,The sheet has been of recent concern because of the small possibility of its collapse.
25,claim-949,"Under the most ambitious scenarios, they found a strong likelihood that Antarctica would remain fairly stable.”",DISPUTED,evidence-28478,"Climate model projections summarized in the report indicated that during the 21st century the global surface temperature is likely to rise a further 0.3 to 1.7 °C (0.5 to 3.1 °F) in a moderate scenario, or as much as 2.6 to 4.8 °C (4.7 to 8.6 °F) in an extreme scenario, depending on the rate of future greenhouse gas emissions and on climate feedback effects."
26,claim-949,"Under the most ambitious scenarios, they found a strong likelihood that Antarctica would remain fairly stable.”",DISPUTED,evidence-491579,"Pledges made as part of the Cancún Agreements are broadly consistent with cost-effective scenarios that give a ""likely"" chance (66-100% probability) of limiting global warming (in 2100) to below 3 °C, relative to pre-industrial levels."
27,claim-1019,"An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.",NOT_ENOUGH_INFO,evidence-863309,"An El Niño is associated with warm and very wet weather months in April–October along the coasts of northern Peru and Ecuador, causing major flooding whenever the event is strong or extreme."
28,claim-1019,"An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.",NOT_ENOUGH_INFO,evidence-61462,"However, over time the term has evolved and now refers to the warm and negative phase of the El Niño–Southern Oscillation and is the warming of the ocean surface or above-average sea surface temperatures in either the central and eastern tropical Pacific Ocean."
29,claim-1019,"An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.",NOT_ENOUGH_INFO,evidence-639818,"Scientists have also found the chemical signatures of warmer sea surface temperatures and increased rainfall caused by El Niño in coral specimens that are around 13,000 years old."
30,claim-1019,"An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.",NOT_ENOUGH_INFO,evidence-757821,"The event temporarily warmed air temperature by 1.5 °C, compared to the usual increase of 0.25 °C associated with El Niño events."
31,claim-1019,"An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.",NOT_ENOUGH_INFO,evidence-263527,"La Niña is the positive and cold phase of the El Niño–Southern Oscillation, and is associated with cooler-than-average sea surface temperatures in the central and eastern tropical Pacific Ocean."
32,claim-2834,"When stomata-derived CO2 (red) is compared to ice core-derived CO2 (blue), the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores.",SUPPORTS,evidence-439640,"One study using evidence from stomata of fossilized leaves suggests greater variability, with carbon dioxide mole fractions above 300 ppm during the period seven to ten thousand years ago, though others have argued that these findings more likely reflect calibration or contamination problems rather than actual CO 2 variability."
33,claim-1441,"195 countries signed the 2015 Paris Agreement, agreeing to limit global warming and adapt to climate change, partly by protecting nature.",SUPPORTS,evidence-217743,"In 2015, all (then) 196 parties to the convention came together for the UN Climate Change Conference in Paris 30 November - 12 December and adopted by consensus the Paris Agreement, aimed at limiting global warming to less than two degrees Celsius, and pursue efforts to limit the rise to 1.5 degrees Celsius."
34,claim-1181,"However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.",NOT_ENOUGH_INFO,evidence-222694,"If sea level changes are too drastic, time will be insufficient for wave action to accumulate sand into a dune, which will eventually become a barrier island through aggradation."
35,claim-1181,"However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.",NOT_ENOUGH_INFO,evidence-905909,"He believed that waves moving into shallow water churned up sand, which was deposited in the form of a submarine bar when the waves broke and lost much of their energy."
36,claim-1181,"However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.",NOT_ENOUGH_INFO,evidence-600745,"Habili – reef specific to the Red Sea; does not reach near enough to the surface to cause visible surf; may be a hazard to ships (from the Arabic for ""unborn"") Microatoll – community of species of corals; vertical growth limited by average tidal height; growth morphologies offer a low-resolution record of patterns of sea level change; fossilized remains can be dated using radioactive carbon dating and have been used to reconstruct Holocene sea levels Cays – small, low-elevation, sandy islands formed on the surface of coral reefs from eroded material that piles up, forming an area above sea level; can be stabilized by plants to become habitable; occur in tropical environments throughout the Pacific, Atlantic and Indian Oceans (including the Caribbean and on the Great Barrier Reef and Belize Barrier Reef), where they provide habitable and agricultural land Seamount or guyot – formed when a coral reef on a volcanic island subsides; tops of seamounts are rounded and guyots are flat; flat tops of guyots, or tablemounts, are due to erosion by waves, winds, and atmospheric processes Coral reef ecosystems contain distinct zones that host different kinds of habitats."
37,claim-1181,"However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.",NOT_ENOUGH_INFO,evidence-337702,"Waves, grazing fish (such as parrotfish), sea urchins, sponges and other forces and organisms act as bioeroders, breaking down coral skeletons into fragments that settle into spaces in the reef structure or form sandy bottoms in associated reef lagoons."
38,claim-1181,"However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.",NOT_ENOUGH_INFO,evidence-1015241,"Over time, corals fragment and die, sand and rubble accumulates between the corals, and the shells of clams and other molluscs decay to form a gradually evolving calcium carbonate structure."
39,claim-2417,"Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system.""",NOT_ENOUGH_INFO,evidence-386828,It is a major aspect of climate change and has been demonstrated by direct temperature measurements and by measurements of various effects of the warming.
40,claim-2417,"Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system.""",NOT_ENOUGH_INFO,evidence-535248,Another line of evidence for the warming not being due to the Sun is how temperature changes differ at different levels in the Earth's atmosphere.
41,claim-2417,"Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system.""",NOT_ENOUGH_INFO,evidence-1078011,"The largest human influence has been the emission of greenhouse gases such as carbon dioxide, methane, and nitrous oxide."
42,claim-2417,"Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system.""",NOT_ENOUGH_INFO,evidence-975483,"As the Sun is the Earth's primary energy source, changes in incoming sunlight directly affect the climate system."
43,claim-2417,"Mars, Triton, Pluto and Jupiter all show global warming, pointing to the Sun as the dominating influence in determining climate throughout the solar system.""",NOT_ENOUGH_INFO,evidence-177166,"As Neptune orbits the Sun, Triton's polar regions take turns facing the Sun, resulting in seasonal changes as one pole, then the other, moves into the sunlight."
44,claim-2152,Venus doesn't have a runaway greenhouse effect,REFUTES,evidence-515817,"The planet Venus experienced runaway greenhouse effect, resulting in an atmosphere which is 96% carbon dioxide, with surface atmospheric pressure roughly the same as found 900 m (3,000 ft) underwater on Earth."
45,claim-2152,Venus doesn't have a runaway greenhouse effect,REFUTES,evidence-1018575,"A runaway greenhouse effect involving carbon dioxide and water vapor has long ago been hypothesized to have occurred on Venus, this idea is still largely accepted[citation needed]."
46,claim-2152,Venus doesn't have a runaway greenhouse effect,REFUTES,evidence-791159,"Venus receives about twice the sunlight that Earth does, which is thought to have contributed to its runaway greenhouse effect."
47,claim-2152,Venus doesn't have a runaway greenhouse effect,REFUTES,evidence-1009205,"It may have had water oceans in the past, but these would have vaporized as the temperature rose due to a runaway greenhouse effect."
48,claim-2152,Venus doesn't have a runaway greenhouse effect,REFUTES,evidence-878835,"The CO 2-rich atmosphere generates the strongest greenhouse effect in the Solar System, creating surface temperatures of at least 735 K (462 °C; 864 °F)."
49,claim-826,"The latest NOAA report is “a reminder that climate change has not, despite the insistence of climate contrarians ‘paused’ or even slowed down,” Mann said..",SUPPORTS,evidence-497197,"""Details the findings of a new report that confirms NOAA data about climate change."""
50,claim-1066,"[…] in fact this pattern is already emerging, with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent.",SUPPORTS,evidence-876634,"Since the 1950s, droughts and heat waves have appeared simultaneously with increasing frequency."
51,claim-3003,Venus is not hot because of a runaway greenhouse.,REFUTES,evidence-175982,"He also perceived global warming as a growing, man-made danger and likened it to the natural development of Venus into a hot, life-hostile planet through a kind of runaway greenhouse effect."
52,claim-3003,Venus is not hot because of a runaway greenhouse.,REFUTES,evidence-515817,"The planet Venus experienced runaway greenhouse effect, resulting in an atmosphere which is 96% carbon dioxide, with surface atmospheric pressure roughly the same as found 900 m (3,000 ft) underwater on Earth."
53,claim-3003,Venus is not hot because of a runaway greenhouse.,REFUTES,evidence-1009205,"It may have had water oceans in the past, but these would have vaporized as the temperature rose due to a runaway greenhouse effect."
54,claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,NOT_ENOUGH_INFO,evidence-368192,"Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century."
55,claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,NOT_ENOUGH_INFO,evidence-1148684,"The strength of CFC absorption bands and the unique susceptibility of the atmosphere at wavelengths where CFCs (indeed all covalent fluorine compounds) absorb creates a “super” greenhouse effect from CFCs and other unreactive fluorine-containing gases such as perfluorocarbons, HFCs, HCFCs, bromofluorocarbons, SF6, and NF3."
56,claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,NOT_ENOUGH_INFO,evidence-457889,"The seven sources of CO 2 from fossil fuel combustion are (with percentage contributions for 2000–2004): Carbon dioxide, methane, nitrous oxide (N 2O) and three groups of fluorinated gases (sulfur hexafluoride (SF 6), hydrofluorocarbons (HFCs), and perfluorocarbons (PFCs)) are the major anthropogenic greenhouse gases, and are regulated under the Kyoto Protocol international treaty, which came into force in 2005."
57,claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,NOT_ENOUGH_INFO,evidence-91026,"Although CFCs are greenhouse gases, they are regulated by the Montreal Protocol, which was motivated by CFCs' contribution to ozone depletion rather than by their contribution to global warming."
58,claim-3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,NOT_ENOUGH_INFO,evidence-813877,"The report shows in detail the individual warming contributions (positive forcing) of carbon dioxide, methane, nitrous oxide, halocarbons, other human warming factors, and the warming effects of changes in solar activity."
59,claim-568,The research also revealed how large areas of the polar ice caps could collapse and significant changes to ecosystems could see the Sahara Desert become green and the edges of tropical forests turn into fire-dominated savanna.,SUPPORTS,evidence-555453,Regime shifts in polar regions include the melting of the Greenland ice sheet and the possible collapse of the thermohaline circulation system.
60,claim-60,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",DISPUTED,evidence-741089,"In 2018, Michaels asserted on Fox News, ""probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases."""
61,claim-60,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",DISPUTED,evidence-251138,Most of the climatic warming over the last 50 years is likely to have been caused by increased concentrations of greenhouse gases in the atmosphere.
62,claim-60,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",DISPUTED,evidence-510852,Human-caused increases in greenhouse gases are responsible for most of the observed global average surface warming of roughly 0.8 °C (1.5 °F) over the past 140 years.
63,claim-60,"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",DISPUTED,evidence-1202023,"The Intergovernmental Panel on Climate Change said the likelihood was 90 percent to 99 percent that emissions of heat-trapping greenhouse gases like carbon dioxide, spewed from tailpipes and smokestacks, were the dominant cause of the observed warming of the last 50 years."
64,claim-378,"for thousands of millions of years the Earth has been changing, with cycles­ and one-off events such as an asteroid impact, super-volcano or a supernova explosion.",SUPPORTS,evidence-594594,"Tectonics and erosion, volcanic eruptions, flooding, weathering, glaciation, the growth of coral reefs, and meteorite impacts are among the processes that constantly reshape Earth's surface over geological time."
65,claim-378,"for thousands of millions of years the Earth has been changing, with cycles­ and one-off events such as an asteroid impact, super-volcano or a supernova explosion.",SUPPORTS,evidence-184401,"Between approximately 4.1 and 3.8 Bya, numerous asteroid impacts during the Late Heavy Bombardment caused significant changes to the greater surface environment of the Moon and, by inference, to that of Earth."
66,claim-2486,"The minute increase of anthropogenic CO2 in the atmosphere (0.008%) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.""",REFUTES,evidence-881808,"The introduction includes this statement: There is strong evidence that the warming of the Earth over the last half-century has been caused largely by human activity, such as the burning of fossil fuels and changes in land use, including agriculture and deforestation."
67,claim-2486,"The minute increase of anthropogenic CO2 in the atmosphere (0.008%) was not the cause of the warming—it was a continuation of natural cycles that occurred over the past 500 years.""",REFUTES,evidence-510852,Human-caused increases in greenhouse gases are responsible for most of the observed global average surface warming of roughly 0.8 °C (1.5 °F) over the past 140 years.
68,claim-1782,"Thousands of coral atolls have ""drowned"" when unable to grow fast enough to survive at sea level.",DISPUTED,evidence-1144381,"""Islands disappear under rising seas""."
69,claim-1782,"Thousands of coral atolls have ""drowned"" when unable to grow fast enough to survive at sea level.",DISPUTED,evidence-124990,More than 80 per cent of the country's land is composed of coral islands which rise less than one metre above sea level.
70,claim-1782,"Thousands of coral atolls have ""drowned"" when unable to grow fast enough to survive at sea level.",DISPUTED,evidence-915986,"When the volcano sinks back down into the sea, the coral continues to grow, keeping the reef at or above water level."
71,claim-1782,"Thousands of coral atolls have ""drowned"" when unable to grow fast enough to survive at sea level.",DISPUTED,evidence-308548,"The atolls have shown resilience to gradual sea-level rise, with atolls and reef islands being able to grow under current climate conditions by generating sufficient sand and coral debris that accumulates and gets dumped on the islands during cyclones."
72,claim-1235,"“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land.",SUPPORTS,evidence-843672,"During the last glacial period the sea-level has fluctuated 20–30 m as water was sequestered, primarily in the Northern Hemisphere ice sheets."
73,claim-1235,"“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land.",SUPPORTS,evidence-1109588,"During glaciation, water was taken from the oceans to form the ice at high latitudes, thus global sea level dropped by about 110 meters, exposing the continental shelves and forming land-bridges between land-masses for animals to migrate."
74,claim-1235,"“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land.",SUPPORTS,evidence-284300,"Due to the volume of ice on land, sea level was about 120 meters lower than present."
75,claim-2065,Global warming is causing snow to disappear.,SUPPORTS,evidence-88825,"Surface temperature increases are greatest in the Arctic, which has contributed to the retreat of glaciers, permafrost, and sea ice."
76,claim-2065,Global warming is causing snow to disappear.,SUPPORTS,evidence-1184933,"Global warming has led to decades of shrinking and thinning of the Arctic sea ice, making it vulnerable to atmospheric anomalies."
77,claim-2065,Global warming is causing snow to disappear.,SUPPORTS,evidence-292592,"This effect results in the increased absorption of radiation that accelerates melting."""
78,claim-2065,Global warming is causing snow to disappear.,SUPPORTS,evidence-618094,"Not only does this increase the absorption of sunlight, it also increases melting and sea level rise."
79,claim-1390,"“Lyme Disease is much more common in northern, cooler regions of the United States than in southern, warmer regions.",SUPPORTS,evidence-1094006,"In the U.S., Lyme is most common in the New England and Mid-Atlantic states and parts of Wisconsin and Minnesota, but it is expanding into other areas."
80,claim-1390,"“Lyme Disease is much more common in northern, cooler regions of the United States than in southern, warmer regions.",SUPPORTS,evidence-307215,Lyme disease occurs regularly in Northern Hemisphere temperate regions.
81,claim-2789,"At that time, Hansen also produced a model of the future behavior of the globe’s temperature, which he had turned into a video movie that was heavily shopped in Congress.",SUPPORTS,evidence-1011994,...Dr. James E. Hansen of the National Aeronautics and Space Administration told a Congressional committee that it was 99 percent certain that the warming trend was not a natural variation but was caused by a buildup of carbon dioxide and other artificial gases in the atmosphere.
82,claim-1414,"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,evidence-601898,Canals and rivers in Great Britain and the Netherlands were frequently frozen deeply enough to support ice skating and winter festivals.
83,claim-1414,"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,evidence-1116043,"During a series of cold winters the Thames froze over above London Bridge: in the first Frost Fair in 1607, a tent city was set up on the river, along with a number of amusements, including ice bowling."
84,claim-1414,"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,evidence-93627,"After temperatures began to rise again, starting in 1814, the river stopped freezing over."
85,claim-1414,"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,evidence-1088241,"In the UK, snow drifts remained on hills until late July, and the Thames froze in September."
86,claim-1414,"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,evidence-16120,The Thames remained frozen over for about 8 weeks.
87,claim-377,"If we halve the carbon dioxide content of the atmosphere, all life dies.",REFUTES,evidence-765194,"Currently, about half of the carbon dioxide released from the burning of fossil fuels remains in the atmosphere and is not absorbed by vegetation and the oceans."
88,claim-558,Species that have a lot of plasticity tend to be generalists.,SUPPORTS,evidence-738531,"Common invasive species traits include the following: Fast growth Rapid reproduction High dispersal ability Phenotype plasticity (the ability to alter growth form to suit current conditions) Tolerance of a wide range of environmental conditions (Ecological competence) Ability to live off of a wide range of food types (generalist) Association with humans Prior successful invasions Typically, an introduced species must survive at low population densities before it becomes invasive in a new location."
89,claim-1447,"Flights departing airports in the United States and its territories emitted about one-quarter (24%) of global passenger transport-related CO2, two-thirds of which came from domestic flights.",SUPPORTS,evidence-331238,"In 2018, CO2 emissions totalled 747 million tonnes for passenger transport, for 8.5 trillion revenue passenger kilometres (RPK), giving an average of 88 gram CO2 per RPK."
90,claim-1038,(Multiplying .95 by itself 15 times yields 46.3 percent.)”,NOT_ENOUGH_INFO,evidence-935810,"1000   g   NO x 1 kg   NO x × 46   kg   NO x 1   kmol   NO x × 1   kmol   NO x 22.414   m 3   NO x × 10   m 3   NO x 10 6   m 3   gas × 20   m 3   gas 1   minute × 60   minute 1   hour = 24.63   g   NO x hour {\displaystyle {\frac {1000\ {\ce {g\ NO}}_{x}}{1{\cancel {{\ce {kg\ NO}}_{x}}}}}\times {\frac {46\ {\cancel {{\ce {kg\ NO}}_{x}}}}{1\ {\cancel {{\ce {kmol\ NO}}_{x}}}}}\times {\frac {1\ {\cancel {{\ce {kmol\ NO}}_{x}}}}{22.414\ {\cancel {{\ce {m}}^{3}\ {\ce {NO}}_{x}}}}}\times {\frac {10\ {\cancel {{\ce {m}}^{3}\ {\ce {NO}}_{x}}}}{10^{6}\ {\cancel {{\ce {m}}^{3}\ {\ce {gas}}}}}}\times {\frac {20\ {\cancel {{\ce {m}}^{3}\ {\ce {gas}}}}}{1\ {\cancel {\ce {minute}}}}}\times {\frac {60\ {\cancel {\ce {minute}}}}{1\ {\ce {hour}}}}=24.63\ {\frac {{\ce {g\ NO}}_{x}}{\ce {hour}}}} After canceling out any dimensional units that appear both in the numerators and denominators of the fractions in the above equation, the NOx concentration of 10 ppmv converts to mass flow rate of 24.63 grams per hour."
91,claim-1038,(Multiplying .95 by itself 15 times yields 46.3 percent.)”,NOT_ENOUGH_INFO,evidence-997014,"This is a return of 20,000 USD divided by 100,000 USD, which equals 20 percent."
92,claim-1038,(Multiplying .95 by itself 15 times yields 46.3 percent.)”,NOT_ENOUGH_INFO,evidence-724362,"Assuming returns are reinvested, if the returns over n {\displaystyle n} successive time sub-periods are R 1 , R 2 , R 3 , ⋯ , R n {\displaystyle R_{1},R_{2},R_{3},\cdots ,R_{n}} , then the cumulative return or overall return over the overall time period is the result of compounding the returns together: ( 1 + R 1 ) ( 1 + R 2 ) ⋯ ( 1 + R n ) − 1 {\displaystyle (1+R_{1})(1+R_{2})\cdots (1+R_{n})-1} If the returns are logarithmic returns however, the logarithmic return over the overall time period is: ∑ i = 1 n R l o g , i = R l o g , 1 + R l o g , 2 + R l o g , 3 + ⋯ + R l o g , n {\displaystyle \sum _{i=1}^{n}R_{\mathrm {log} ,i}=R_{\mathrm {log} ,1}+R_{\mathrm {log} ,2}+R_{\mathrm {log} ,3}+\cdots +R_{\mathrm {log} ,n}} This formula applies with an assumption of reinvestment of returns and it means that successive logarithmic returns can be summed, i.e."
